"location","time_period","rainfall","mean_temperature","net_time"
"CSB1 AMBALAVOLO",2023-01-01,350.604641215786,25.2598772075579,1.42191780821918
"CSB1 AMBALAVOLO",2023-02-01,233.615319817791,24.8936169955737,1.50684931506849
"CSB1 AMBALAVOLO",2023-03-01,193.396807993228,24.2660042010904,1.58356164383562
"CSB1 AMBALAVOLO",2023-04-01,99.5059667602988,23.2500177283067,1.66849315068493
"CSB1 AMBALAVOLO",2023-05-01,0,21.9808006303765,1.75068493150685
"CSB1 AMBALAVOLO",2023-06-01,0,20.5122175966805,1.83561643835616
"CSB1 AMBALAVOLO",2023-07-01,0,19.2214215825594,1.91780821917808
"CSB1 AMBALAVOLO",2023-08-01,0,20.3890291910335,2.0027397260274
"CSB1 AMBALAVOLO",2023-09-01,0,22.9927292853334,2.08767123287671
"CSB1 AMBALAVOLO",2023-10-01,97.1056310066544,26.0524842651664,2.16986301369863
"CSB1 AMBALAVOLO",2023-11-01,48.4208030453,25.651460575686,2.25479452054795
"CSB1 AMBALAVOLO",2023-12-01,159.322810228336,26.3323243233481,2.33698630136986
"CSB1 AMBODIARA SUD",2023-01-01,355.798273197629,24.1326164002179,1.42191780821918
"CSB1 AMBODIARA SUD",2023-02-01,232.404933711521,24.0211979031068,1.50684931506849
"CSB1 AMBODIARA SUD",2023-03-01,258.865432935977,23.367266344045,1.58356164383562
"CSB1 AMBODIARA SUD",2023-04-01,74.7100214691972,22.247179968204,1.66849315068493
"CSB1 AMBODIARA SUD",2023-05-01,0,20.8054928636432,1.75068493150685
"CSB1 AMBODIARA SUD",2023-06-01,0,19.136213738505,1.83561643835616
"CSB1 AMBODIARA SUD",2023-07-01,0,17.8815129685574,1.91780821917808
"CSB1 AMBODIARA SUD",2023-08-01,0,19.0070931290797,2.0027397260274
"CSB1 AMBODIARA SUD",2023-09-01,0,21.9541117362778,2.08767123287671
"CSB1 AMBODIARA SUD",2023-10-01,111.463559875375,25.153641488243,2.16986301369863
"CSB1 AMBODIARA SUD",2023-11-01,53.9532190907614,24.7828217988342,2.25479452054795
"CSB1 AMBODIARA SUD",2023-12-01,201.836470592163,25.1213605507536,2.33698630136986
"CSB1 AMBODIMANGA NORD",2023-01-01,337.63345440131,23.5760913026361,1.42191780821918
"CSB1 AMBODIMANGA NORD",2023-02-01,200.617399350566,23.5219150269001,1.50684931506849
"CSB1 AMBODIMANGA NORD",2023-03-01,249.041519064713,22.9547457026141,1.58356164383562
"CSB1 AMBODIMANGA NORD",2023-04-01,75.0470074336492,22.0613811218737,1.66849315068493
"CSB1 AMBODIMANGA NORD",2023-05-01,0,20.7334238580632,1.75068493150685
"CSB1 AMBODIMANGA NORD",2023-06-01,0,18.9852725220229,1.83561643835616
"CSB1 AMBODIMANGA NORD",2023-07-01,0,17.7471065629302,1.91780821917808
"CSB1 AMBODIMANGA NORD",2023-08-01,0,19.0162605937503,2.0027397260274
"CSB1 AMBODIMANGA NORD",2023-09-01,0,22.1222074426957,2.08767123287671
"CSB1 AMBODIMANGA NORD",2023-10-01,100.048211886715,25.2443664827799,2.16986301369863
